[28/05/2016:23:56:33 +0200] 213 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:33 +0200] 8 0:0:0:0:0:0:0:1 200 /css/screen.css nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:33 +0200] 2 0:0:0:0:0:0:0:1 200 /img/bg_guestbook.jpg nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:33 +0200] 1 0:0:0:0:0:0:0:1 200 /img/exclamation_mark.png nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:34 +0200] 78 0:0:0:0:0:0:0:1 404 /favicon.ico nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:34 +0200] 58 0:0:0:0:0:0:0:1 404 /favicon.ico nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 40 0:0:0:0:0:0:0:1 200 /script nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 19 0:0:0:0:0:0:0:1 200 /js/app.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 19 0:0:0:0:0:0:0:1 200 /js/out/goog/base.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 25 0:0:0:0:0:0:0:1 200 /js/out/cljs_deps.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 18 0:0:0:0:0:0:0:1 200 /js/out/goog/deps.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 28 0:0:0:0:0:0:0:1 200 /js/out/goog/string/string.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 29 0:0:0:0:0:0:0:1 200 /js/out/goog/object/object.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 33 0:0:0:0:0:0:0:1 200 /js/out/goog/dom/nodetype.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 33 0:0:0:0:0:0:0:1 200 /js/out/goog/asserts/asserts.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 34 0:0:0:0:0:0:0:1 200 /js/out/goog/string/stringbuffer.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 38 0:0:0:0:0:0:0:1 200 /js/out/goog/debug/error.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 28 0:0:0:0:0:0:0:1 200 /js/out/goog/array/array.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 27 0:0:0:0:0:0:0:1 200 /js/out/cljs/core.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 24 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/browser.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 23 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/engine.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 29 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/util.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 27 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/platform.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/useragent/useragent.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/functions/functions.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/math/math.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 30 0:0:0:0:0:0:0:1 200 /js/out/goog/useragent/product.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 31 0:0:0:0:0:0:0:1 200 /js/out/goog/structs/structs.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 30 0:0:0:0:0:0:0:1 200 /js/out/goog/iter/iter.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 25 0:0:0:0:0:0:0:1 200 /js/out/goog/structs/map.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[28/05/2016:23:56:43 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/cljs/core/async/impl/buffers.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
